#,name,len,gain,days,others,year,month,shelter,route_type,lat,lng,forest,lake,river,waterfall,beach,historic_site,cave,injury,difficulty,rating
137,Montgomery Loop,8.5,50,,,,,,loop,44.83,-79.058,1,1,1,1,0,0,0,,,
138,Sandstone Island Trail,6.2,30,,,,,,loop,44.517,-76.022,1,1,0,0,0,0,0,,,
139,International Appalachian Trail,606,18760,,,,,,point to point,47.974,-66.953,1,1,1,1,0,0,0,,,
140,East Coast Trail,224,3610,,,,,,point to point,47.808,-52.787,1,1,1,1,1,1,0,,,
141,Sunshine Coast Trail,167,8110,,,,,,point to point,50.058,-124.837,1,1,0,0,1,0,0,,,
142,Bruce Trail (Peninsula Section),158.7,3800,,,,,,point to point,44.745,-81.138,1,1,1,0,1,0,0,,,
143,Ottawa Temiskaming Highland Trail,141.2,2400,,,,,,point to point,47.32,-79.808,1,1,1,0,0,0,0,,,
144,Laugavegur & Fimmvörðuháls,79.5,2960,,,,,,point to point,63.991,-19.06,0,1,1,1,0,0,0,,,
145,West Coast Trail,75,1510,,,,,,point to point,48.577,-124.417,1,0,1,1,1,1,1,,,
146,Lake Superior Coastal Trail,70.4,660,,,,,,point to point,47.559,-84.949,1,1,1,1,1,0,1,,,
147,Pukaskwa Coasta Trail,59.5,730,,,,,,point to point,48.591,-86.29,1,1,1,1,1,0,0,,,
148,Casque Isles Trail,51.5,910,,,,,,point to point,48.782,-87.125,1,1,1,1,0,0,0,,,
149,Long Range Traverse,36.5,1720,,,,,,point to point,49.714,-57.663,1,1,1,0,0,0,0,,,
150,Kalalau Trail,35.4,1890,,,,,,point to point,22.22,-159.583,1,0,1,1,1,0,1,,,
151,Coyote Gulch,27.2,850,,,,,,loop,37.404,-111.009,0,0,1,1,0,0,0,,,
152,Smokey Head ORA,24.2,270,,,,,,loop,45.02,-81.284,1,1,0,0,0,0,0,,,
153,Frozen Ocean Lake Loop,22.3,80,,,,,,loop,44.442,-65.253,1,1,0,0,0,0,0,,,
154,Pollett's Cove,13.2,830,,,,,,out and back,46.873,-60.743,1,0,1,0,1,0,0,,,
155,Fishing Cove,11.9,360,,,,,,out and back,46.771,-60.837,1,0,1,0,1,0,0,,,
156,Peat Mountain Trail,9.4,260,,,,,,out and back,47.752,-84.826,1,1,0,0,0,0,0,,,
157,Birch Camp ORA,7.7,50,,,,,,loop,44.779,-80.961,1,0,0,0,0,0,0,,,
158,Flowerpot Island Loop,5.5,140,,,,,,loop,45.299,-81.617,1,1,0,0,0,1,1,,,
159,Hockley Hollow ORA,5.1,50,,,,,,loop,43.974,-79.985,1,0,0,0,0,0,0,,,
160,Shoreline Centennial Trail,2.2,0,,,,,,loop,44.517,-76.022,1,1,0,0,0,0,0,,,
