trail_name,user,region,park,province,country,latitude,longitude,start_date,end_date,distance,elevation_gain,max_temp,min_temp,rain,snow,summer_temp,winter_temp,annual_rain,annual_snow,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,enjoyment,route_type,route,num_reviews,backpacking,nights,days,order
Witchy Waterslide,Jamie,Achray,Algonquin,Ontario,Canada,45.867,-77.757,2022-07-21,2022-07-23,18.7,190,27.6,16.8,2.5,0.0,30.7,-23.5,682.3,175.3,1,1,1,1,0,0,0,0,3,3,loop,"https://www.komoot.com/plan/tour/d01ArvhdftdiZE=FxfcEjC9cSOmcmAh8gq4xStuXrTaknQp0A==/@45.8599981,-77.7171477,12.287z",1,1,2,3,11
Charleston Lake,Jamie,Charleston Lake,Charleston Lake,Ontario,Canada,44.504,-76.038,2022-08-13,2022-08-14,11.7,120,25.1,15.7,0.0,0.0,30.1,-18.7,885.5,126.4,1,1,0,0,1,0,0,0,1,3,loop,"https://www.komoot.com/plan/tour/d01AqcS8vt3vk4=FvhsBgBbHCLZWXJn27NjtFkptBeyhtKo/@44.5201802,-76.0349901,12.789z",1,1,1,2,12
Hawk Ridge,Jamie,Halfway Lake,Halfway Lake,Ontario,Canada,46.906,-81.635,2022-09-03,2022-09-04,17.2,190,19.3,7.9,0.0,0.0,28.1,-26.0,616.8,171.7,1,1,0,0,1,0,0,0,3,3,loop,"https://www.komoot.com/plan/tour/d01AsuzhfsiOgw=FwcABNJ7peBLxst4Iu5dSZKZS1GIW-gW538bmaA=/@46.9165467,-81.6553131,12.472z",1,1,1,2,13
Pukaskwa Loop,Jamie,Pukaskwa,Pukaskwa,Ontario,Canada,48.591,-86.29,2022-09-06,2022-09-07,29.8,400,19.5,12.3,0.6,0.0,23.1,-24.4,598.4,174.7,1,1,1,1,1,0,0,0,5,5,loop,"https://www.komoot.com/plan/tour/d01AuVyTPrbUGM=Fxh4BJKFcPSIOHsCGJD3RyzO8JuM_h2nQaHpMLvZgCOAFgpMLvao/@48.5737256,-86.2575995,11.899z",1,1,1,2,14
Sleeping Giant,Jamie,Sleeping Giant,Sleeping Giant,Ontario,Canada,48.34,-88.822,2022-09-08,2022-09-09,32.8,590,17.6,12.5,9.8,0.0,22.1,-23.1,528.6,144.1,1,1,0,0,1,0,0,0,7,5,out and back,"https://www.komoot.com/plan/tour/d01AuGdjvq0rlg=Fyh0BP0B_N4TGyjA3pT1DTHOS_CwyT-i43K61B7Y0A4f4NA=/@48.3212661,-88.8844835,11.610z",1,1,1,2,15
Towab,Jamie,Park Interior,Lake Superior,Ontario,Canada,47.351,-84.582,2022-09-12,2022-09-13,20.2,450,19.0,13.3,6.8,0.0,24.1,-23.3,788.0,215.9,1,0,1,1,0,0,0,0,5,4,out and back,"https://www.komoot.com/plan/tour/d01AtKEJPr1YHU=FxhsEzpONZXGQzJVAA==/@47.3649330,-84.5698630,12.091z",1,1,1,2,16
McKenzie,Jamie,Mississagi,Mississagi,Ontario,Canada,46.583,-82.695,2022-09-15,2022-09-16,30.9,750,14.3,11.0,11.4,0.0,27.6,-24.9,707.3,164.2,1,1,0,0,1,0,0,0,5,3,loop,,1,1,1,2,17
Brule Bushwack,Jamie,West Algonquin,Algonquin,Ontario,Canada,45.603,-78.954,2022-10-14,2022-10-17,32.6,260,9.2,0.2,10.8,0.0,27.9,-23.7,817.4,200.9,1,1,0,0,0,1,0,0,7,1,out and back,"https://www.komoot.com/plan/tour/d01ArfaRftLQn0=FygABKfPraBUAA==/@45.6204982,-78.8895360,11.640z",1,1,3,4,18
Mizzy Lake,Jamie,Highway 60,Algonquin,Ontario,Canada,45.543,-78.695,2023-03-18,2023-03-19,11.4,90,-3.7,-15.2,0.0,1.6,28.1,-22.7,774.9,200.5,1,1,0,0,0,0,0,0,1,2,loop,"https://www.komoot.com/plan/tour/d01ArbtC_tPM_c=FujsEzQAg5QlEcdkp26t7QA=/@45.5603697,-78.6862111,12.039z",1,1,1,2,19
Snake Lake,Jamie,East Side,Queen Elizabeth II,Ontario,Canada,44.861,-78.821,2023-05-05,2023-05-07,24.3,210,18.5,4.2,0.0,0.0,29.7,-22.6,854.2,149.6,1,1,0,0,0,0,0,0,3,2,out and back,"https://www.komoot.com/plan/tour/d01AqyAXftNXVY=FxhYBk0QEHkrd3ImBBt-Y5fuNzGg/@44.8639680,-78.8400463,12.553z",1,1,2,3,20
